page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
38,35,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,38,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",25,83,False,False,,medium,[]
39,36,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,operating_detail,"item | budget (2025-2026, 2025/2026)","[""City of Charlottetown""]","[""2025-2026"", ""2025/2026""]",7,73,True,False,continuation-006,high,[]
40,37,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,56,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",8,85,True,True,continuation-006,high,"[""adjacent same-family page; continuation requires visual review""]"
41,38,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,29,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",4,41,True,True,continuation-006,high,"[""adjacent same-family page; continuation requires visual review""]"
42,39,Operating Budget,Finance,text_or_divider,embedded_text,24,False,,,[],[],0,2,True,False,,medium,[]
43,40,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,44,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",27,90,True,False,,high,[]
44,41,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",8,84,True,False,continuation-007,high,[]
45,42,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,55,True,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",20,91,True,True,continuation-007,high,"[""adjacent same-family page; continuation requires visual review""]"
46,43,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,38,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",6,67,True,True,continuation-007,high,"[""adjacent same-family page; continuation requires visual review""]"
47,44,Operating Budget,Charlottetown Fire Department and,text_or_divider,embedded_text,22,False,,,[],[],0,2,False,False,,medium,[]
48,45,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,28,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",19,67,False,False,,medium,[]
49,46,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,56,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",7,84,True,False,continuation-008,high,[]
50,47,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,52,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",8,76,True,True,continuation-008,high,"[""adjacent same-family page; continuation requires visual review""]"
51,48,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,25,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",3,33,True,True,continuation-008,high,"[""adjacent same-family page; continuation requires visual review""]"
52,49,Operating Budget,Human Resources,text_or_divider,embedded_text,25,False,,,[],"[""2025"", ""2025/2026"", ""2026""]",0,7,False,False,,medium,[]
53,50,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,20,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",11,43,False,False,,medium,[]
54,51,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,53,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",5,69,True,False,continuation-009,high,[]
55,52,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,40,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",5,57,True,True,continuation-009,high,"[""adjacent same-family page; continuation requires visual review""]"
56,53,Operating Budget,Mayor and Council,text_or_divider,embedded_text,19,False,,,[],[],0,3,False,False,,medium,[]
57,54,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,20,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",11,42,False,False,,medium,[]
58,55,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,39,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",9,68,True,False,continuation-010,high,[]
59,56,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,25,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",1,27,True,True,continuation-010,high,"[""adjacent same-family page; continuation requires visual review""]"
60,57,Operating Budget,Parks and Recreation,text_or_divider,embedded_text,36,False,,,"[""Bell Aliant Centre""]",[],0,3,False,False,,medium,[]
61,58,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,43,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",28,95,False,False,continuation-011,medium,[]
62,59,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,36,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",23,82,False,True,continuation-011,medium,"[""adjacent same-family page; continuation requires visual review""]"
63,60,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,55,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",9,41,True,False,continuation-012,high,[]
64,61,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,50,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",3,17,True,True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
65,62,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,47,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",6,34,True,True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
66,63,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,33,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",4,17,True,True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
67,64,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,56,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",7,35,True,True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
68,65,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,58,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",3,26,True,True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
69,66,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",5,20,True,True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
70,67,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,22,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",3,15,True,True,continuation-012,high,"[""adjacent same-family page; continuation requires visual review""]"
71,68,Operating Budget,Planning and Heritage,text_or_divider,embedded_text,31,False,,,[],[],0,2,False,False,,medium,[]
72,69,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,34,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",23,76,False,False,,medium,[]
73,70,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,58,True,operating_detail,item | budget | variance (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",6,82,True,False,continuation-013,high,[]
74,71,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,55,True,operating_detail,item | budget | variance (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",8,78,True,True,continuation-013,high,"[""adjacent same-family page; continuation requires visual review""]"
75,72,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,29,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",4,39,True,True,continuation-013,high,"[""adjacent same-family page; continuation requires visual review""]"
76,73,Operating Budget,Charlottetown Police Services,text_or_divider,embedded_text,23,False,,,"[""City of Charlottetown""]",[],0,2,False,False,,medium,[]
77,74,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,37,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",28,94,False,False,,medium,[]
78,75,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,49,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",5,69,True,False,continuation-014,high,[]
79,76,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,47,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",9,72,True,True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
80,77,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,48,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",9,72,True,True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
81,78,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,26,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",3,34,True,True,continuation-014,high,"[""adjacent same-family page; continuation requires visual review""]"
82,79,Operating Budget,Public Works,text_or_divider,embedded_text,25,False,,,[],[],0,5,False,False,,medium,[]
83,80,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,52,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",40,132,False,False,,medium,[]
84,81,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",8,87,True,False,continuation-015,high,[]
85,82,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",11,84,True,True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
86,83,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,52,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",7,64,True,True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
87,84,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,43,True,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",11,75,True,True,continuation-015,high,"[""adjacent same-family page; continuation requires visual review""]"
88,85,Operating Budget,Water and Sewer Utility,text_or_divider,embedded_text,21,False,,,"[""Charlottetown Water and Sewer""]",[],0,7,False,False,,medium,[]
89,86,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,20,True,operating_detail,"item | budget | forecast (2024/25, 2025/2026, 2025/26)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",11,43,True,False,,high,[]
90,87,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,50,True,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",40,129,True,False,,high,[]
91,88,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",7,79,True,False,continuation-016,high,[]
92,89,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",8,87,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
93,90,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,56,True,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",8,81,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
94,91,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,56,True,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",11,86,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
95,92,Operating Budget,2025/2026 Operating Budget,table_or_profile,embedded_text,15,True,operating_detail,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",3,22,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
96,,Operating Budget,Charlottetown Civic Centre,text_or_divider,embedded_text,7,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre""]","[""2025/2026""]",0,2,False,False,,medium,[]
97,94,Operating Budget,Charlottetown Civic Centre Management Inc.,table_or_profile,embedded_text,42,True,operating_statement,"item | budget (2023, 2025-26)","[""City of Charlottetown""]","[""2023"", ""2025-26""]",19,41,True,False,,high,[]
98,95,Operating Budget,"Total Trade Centre Revenue 209,500.00",table_or_profile,embedded_text,42,True,operating_statement,item | amount (unlabeled period),[],[],14,39,True,False,,high,[]
99,96,Operating Budget,"Total Large Events 93,000.00",table_or_profile,embedded_text,39,True,operating_statement,item | amount (unlabeled period),[],[],20,33,True,False,continuation-017,high,[]
100,97,Operating Budget,"Permanent Salaries CCCMI 441,200.00",table_or_profile,embedded_text,45,True,operating_statement,item | amount (unlabeled period),[],[],21,44,False,True,continuation-017,medium,"[""adjacent same-family page; continuation requires visual review""]"
101,98,Operating Budget,"Total Repairs & Maintenance 172,500.00",table_or_profile,embedded_text,29,True,operating_statement,item | amount (unlabeled period),[],[],11,26,False,True,continuation-017,medium,"[""adjacent same-family page; continuation requires visual review""]"
102,99,Operating Budget,BELL ALIANT CENTRE,text_or_divider,embedded_text,6,False,,,"[""Bell Aliant Centre""]","[""2024"", ""2025-26""]",0,6,False,False,,medium,[]
103,100,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,44,True,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2024-25"", ""2025-26"", ""2025/26""]",32,104,True,False,continuation-018,high,[]
104,101,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,23,True,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre""]","[""2024-25"", ""2025-26"", ""2025/26""]",15,52,True,True,continuation-018,high,"[""adjacent same-family page; continuation requires visual review""]"
105,102,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,28,True,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre""]","[""2024-25"", ""2025-26"", ""2025/26""]",20,67,True,True,continuation-018,high,"[""adjacent same-family page; continuation requires visual review""]"
106,103,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,25,True,facility_operating_statement,"item | budget | variance (2024-25, 2025-26, 2025/26)","[""Bell Aliant Centre""]","[""2024-25"", ""2025-26"", ""2025/26""]",17,59,True,True,continuation-018,high,"[""adjacent same-family page; continuation requires visual review""]"
107,,Operating Budget,and,text_or_divider,embedded_text,6,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",0,2,False,False,,medium,[]
108,105,Capital Budget,City of Charlottetown and Charlottetown Water & Sewer,table_or_profile,embedded_text,33,True,capital_budget_schedule,"item | budget (2024/25, 2025/2026, 2025/26)","[""Bell Aliant Centre"", ""Eastlink Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",24,54,False,False,continuation-019,medium,[]
109,106,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,22,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",15,19,False,True,continuation-019,medium,"[""adjacent same-family page; continuation requires visual review""]"
110,107,Capital Budget,Bikeshare Program,table_or_profile,embedded_text,16,True,capital_project_profile,profile field | narrative value,[],[],0,5,False,False,continuation-020,medium,[]
111,108,Capital Budget,Public Transit Buses,table_or_profile,embedded_text,15,True,capital_project_profile,profile field | narrative value,[],"[""2025"", ""2026""]",0,5,False,True,continuation-020,medium,"[""adjacent same-family page; continuation requires visual review""]"
112,109,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,12,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",7,12,False,False,continuation-021,medium,[]
113,110,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,11,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",6,11,False,True,continuation-021,medium,"[""adjacent same-family page; continuation requires visual review""]"
114,111,Capital Budget,New Fire Station,table_or_profile,embedded_text,10,True,capital_project_profile,profile field | narrative value,[],[],0,2,False,False,continuation-022,medium,[]
115,112,Capital Budget,Fire Engine Replacement,table_or_profile,embedded_text,14,True,capital_project_profile,profile field | narrative value,[],[],0,5,False,True,continuation-022,medium,"[""adjacent same-family page; continuation requires visual review""]"
116,113,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,30,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",20,24,False,False,continuation-023,medium,[]
117,114,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,18,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",11,16,False,True,continuation-023,medium,"[""adjacent same-family page; continuation requires visual review""]"
118,115,Capital Budget,East Royalty Landfill Old Road and,table_or_profile,embedded_text,16,True,capital_project_profile,profile field | narrative value,[],[],0,2,False,False,continuation-024,medium,[]
119,116,Capital Budget,Artificial Turf Field,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],"[""2025""]",1,4,False,True,continuation-024,medium,"[""adjacent same-family page; continuation requires visual review""]"
120,117,Capital Budget,Multi-Use Outdoor Facility,table_or_profile,embedded_text,18,True,capital_project_profile,profile field | narrative value,[],[],0,2,False,True,continuation-024,medium,"[""adjacent same-family page; continuation requires visual review""]"
121,118,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,18,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",13,17,False,False,continuation-025,medium,[]
122,119,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,43,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",34,42,False,True,continuation-025,medium,"[""adjacent same-family page; continuation requires visual review""]"
123,120,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,44,True,capital_budget_schedule,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",33,37,False,True,continuation-025,medium,"[""adjacent same-family page; continuation requires visual review""]"
124,121,Capital Budget,Heartz Hall Upgrades – Phase 2,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],"[""2024""]",0,6,False,False,continuation-026,medium,[]
125,122,Capital Budget,Sherwood Recreation Hall Upgrades,table_or_profile,embedded_text,13,True,capital_project_profile,profile field | narrative value,[],[],0,2,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
126,123,Capital Budget,Brownfield Development,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",0,4,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
127,124,Capital Budget,Pownal Street Parkade,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],[],0,3,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
