source_id,height_lidar_m,height_lidar_method,height_lidar_confidence,height_lidar_status,height_lidar_source_tiles,height_lidar_point_count,height_lidar_roof_m,height_lidar_ground_m,height_lidar_updated_at,height_lidar_provenance
34,15.46,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},28428,24.56,9.096,2026-05-06T22:11:50.491290+00:00,"{""area_m2"": 3561.603, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.234, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.342, ""roof_p98_m"": 24.812, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
35,10.61,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},14711,17.156,6.549,2026-05-06T22:11:50.491941+00:00,"{""area_m2"": 1941.433, ""ground_buffer_m"": 3, ""ground_p50_m"": 7.503, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 17.138, ""roof_p98_m"": 17.267, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
36,9.94,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},15831,12.025,2.085,2026-05-06T22:11:50.492631+00:00,"{""area_m2"": 1920.676, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.214, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 11.889, ""roof_p98_m"": 13.212, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
37,14.52,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_689000.copc.laz},27506,34.519,19.998,2026-05-06T22:11:50.493392+00:00,"{""area_m2"": 3351.927, ""ground_buffer_m"": 3, ""ground_p50_m"": 23.252, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 34.1, ""roof_p98_m"": 35.433, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
38,15.02,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_389000_687000.copc.laz,pei_2020_390000_687000.copc.laz}",16685,23.079,8.063,2026-05-06T22:11:50.493937+00:00,"{""area_m2"": 1891.233, ""ground_buffer_m"": 3, ""ground_p50_m"": 8.672, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 22.675, ""roof_p98_m"": 23.307, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
39,12.2,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_687000.copc.laz},9285,18.58,6.383,2026-05-06T22:11:50.494385+00:00,"{""area_m2"": 1012.028, ""ground_buffer_m"": 3, ""ground_p50_m"": 8.045, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 18.434, ""roof_p98_m"": 18.648, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
40,11.37,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_687000.copc.laz},21738,16.566,5.197,2026-05-06T22:11:50.495103+00:00,"{""area_m2"": 2479.068, ""ground_buffer_m"": 3, ""ground_p50_m"": 5.912, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 16.43, ""roof_p98_m"": 24.875, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
41,11.39,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_688000.copc.laz},39424,24.406,13.015,2026-05-06T22:11:50.496223+00:00,"{""area_m2"": 4986.385, ""ground_buffer_m"": 3, ""ground_p50_m"": 13.839, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.339, ""roof_p98_m"": 25.236, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
42,14.92,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},56183,18.695,3.776,2026-05-06T22:11:50.498022+00:00,"{""area_m2"": 6591.341, ""ground_buffer_m"": 3, ""ground_p50_m"": 6.526, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 18.191, ""roof_p98_m"": 19.254, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
43,10.4,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_391000_688000.copc.laz},50810,13.276,2.873,2026-05-06T22:11:50.499242+00:00,"{""area_m2"": 4425.498, ""ground_buffer_m"": 3, ""ground_p50_m"": 3.032, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 13.209, ""roof_p98_m"": 13.321, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
