osm_type,osm_id,building,name,levels,source_tags,geom_wkt
"way","1368602302","house","","","{""building"":""house""}","POLYGON((-63.1823878 46.2355107,-63.1823700 46.2354710,-63.1824369 46.2354566,-63.1823939 46.2353610,-63.1823317 46.2353744,-63.1823090 46.2353239,-63.1822243 46.2353421,-63.1823077 46.2355279,-63.1823878 46.2355107))"
"way","1368602295","barn","","","{""building"":""barn""}","POLYGON((-63.1843275 46.2366641,-63.1842542 46.2365134,-63.1829394 46.2368198,-63.1830126 46.2369702,-63.1843275 46.2366641))"
"way","1368602296","barn","","","{""building"":""barn""}","POLYGON((-63.1835700 46.2364635,-63.1835029 46.2363308,-63.1825232 46.2365682,-63.1825903 46.2367007,-63.1835700 46.2364635))"
"way","1368602298","barn","","","{""building"":""barn""}","POLYGON((-63.1832948 46.2358326,-63.1832146 46.2356476,-63.1830465 46.2356825,-63.1831266 46.2358675,-63.1832948 46.2358326))"
"way","1368602300","barn","","","{""building"":""barn""}","POLYGON((-63.1837082 46.2352776,-63.1836334 46.2351018,-63.1832551 46.2351788,-63.1833299 46.2353546,-63.1837082 46.2352776))"
"way","1368602345","house","","","{""building"":""house""}","POLYGON((-63.1876918 46.2456328,-63.1876445 46.2455366,-63.1876166 46.2455432,-63.1875796 46.2454679,-63.1874267 46.2455038,-63.1874695 46.2455908,-63.1874374 46.2455983,-63.1874791 46.2456828,-63.1876918 46.2456328))"
"way","1368602351","house","","","{""building"":""house""}","POLYGON((-63.1867827 46.2456389,-63.1867503 46.2455689,-63.1867865 46.2455609,-63.1867720 46.2455295,-63.1868138 46.2455202,-63.1867777 46.2454421,-63.1865578 46.2454906,-63.1866058 46.2455946,-63.1866238 46.2455906,-63.1866588 46.2456662,-63.1867827 46.2456389))"
"way","1368602369","house","","","{""building"":""house""}","POLYGON((-63.1859678 46.2456723,-63.1859902 46.2455509,-63.1859615 46.2455483,-63.1859736 46.2454824,-63.1858543 46.2454719,-63.1858470 46.2455113,-63.1858247 46.2455094,-63.1858100 46.2455893,-63.1858433 46.2455923,-63.1858308 46.2456601,-63.1859678 46.2456723))"
"way","1368602383","house","","","{""building"":""house""}","POLYGON((-63.1850679 46.2456492,-63.1850932 46.2455721,-63.1850524 46.2455657,-63.1850792 46.2454839,-63.1848956 46.2454552,-63.1848745 46.2455194,-63.1849022 46.2455237,-63.1848712 46.2456184,-63.1850679 46.2456492))"
"way","1368602303","house","","","{""building"":""house""}","POLYGON((-63.1871915 46.2392199,-63.1871541 46.2391362,-63.1870807 46.2391519,-63.1870637 46.2391138,-63.1869894 46.2391297,-63.1869972 46.2391471,-63.1868044 46.2391883,-63.1868511 46.2392928,-63.1871915 46.2392199))"
"way","1368602304","barn","","","{""building"":""barn""}","POLYGON((-63.1881397 46.2391707,-63.1880993 46.2390944,-63.1877136 46.2391919,-63.1877520 46.2392645,-63.1877234 46.2392718,-63.1877612 46.2393434,-63.1874543 46.2394210,-63.1875449 46.2395923,-63.1883395 46.2393913,-63.1882494 46.2392209,-63.1878240 46.2393286,-63.1878116 46.2393051,-63.1879583 46.2392680,-63.1879343 46.2392227,-63.1881397 46.2391707))"
"way","1368602305","barn","","","{""building"":""barn""}","POLYGON((-63.1883029 46.2397002,-63.1881939 46.2394959,-63.1879860 46.2395489,-63.1879618 46.2395036,-63.1877481 46.2395581,-63.1878814 46.2398078,-63.1883029 46.2397002))"
"way","1368602306","barn","","","{""building"":""barn""}","POLYGON((-63.1875167 46.2397305,-63.1874203 46.2395602,-63.1872037 46.2396189,-63.1873000 46.2397892,-63.1875167 46.2397305))"
"way","1368602307","barn","","","{""building"":""barn""}","POLYGON((-63.1872381 46.2398217,-63.1871418 46.2396522,-63.1869773 46.2396969,-63.1870735 46.2398664,-63.1872381 46.2398217))"
"way","1368602308","barn","","","{""building"":""barn""}","POLYGON((-63.1867842 46.2399191,-63.1866979 46.2398066,-63.1857863 46.2401410,-63.1858727 46.2402536,-63.1867842 46.2399191))"
"way","1368602310","barn","","","{""building"":""barn""}","POLYGON((-63.1845789 46.2426408,-63.1844765 46.2424498,-63.1842099 46.2425182,-63.1842324 46.2425602,-63.1839543 46.2426316,-63.1839363 46.2425979,-63.1836583 46.2426692,-63.1836774 46.2427048,-63.1836422 46.2427138,-63.1836833 46.2427905,-63.1838146 46.2427569,-63.1838447 46.2428132,-63.1843038 46.2426954,-63.1843113 46.2427095,-63.1845789 46.2426408))"
"way","1368602311","house","","","{""building"":""house""}","POLYGON((-63.1842213 46.2424287,-63.1841081 46.2422997,-63.1839279 46.2423754,-63.1840411 46.2425043,-63.1842213 46.2424287))"
"way","1368602312","house","","","{""building"":""house""}","POLYGON((-63.1842018 46.2422267,-63.1842727 46.2421739,-63.1842183 46.2421389,-63.1842465 46.2421179,-63.1841204 46.2420369,-63.1840094 46.2421197,-63.1840602 46.2421523,-63.1840720 46.2421435,-63.1842018 46.2422267))"
"way","1368602313","barn","","","{""building"":""barn""}","POLYGON((-63.1849990 46.2429537,-63.1849448 46.2428455,-63.1848006 46.2428801,-63.1848548 46.2429883,-63.1849990 46.2429537))"
"way","1368602314","barn","","","{""building"":""barn""}","POLYGON((-63.1847471 46.2429187,-63.1847236 46.2428672,-63.1844106 46.2429356,-63.1844341 46.2429870,-63.1847471 46.2429187))"
"way","1368602315","barn","","","{""building"":""barn""}","POLYGON((-63.1841624 46.2429630,-63.1841373 46.2429141,-63.1839108 46.2429697,-63.1839359 46.2430186,-63.1841624 46.2429630))"
"way","1368602316","house","","","{""building"":""house""}","POLYGON((-63.1850454 46.2421534,-63.1849805 46.2420756,-63.1847981 46.2421483,-63.1848420 46.2422009,-63.1848120 46.2422128,-63.1848508 46.2422593,-63.1849185 46.2422323,-63.1849008 46.2422111,-63.1850454 46.2421534))"
