pair_key,original_zone,original_zone_name,updated_zone,updated_zone_name,affected_property_count,distinct_pid_count,missing_pid_record_count,distinct_pids,use_comparison_status,added_permitted_use_count,removed_permitted_use_count,shared_permitted_use_count,added_permitted_uses,removed_permitted_uses,source_original,source_updated_draft
M1 -> GC,M1,Light Industrial,GC,Growth Corridor,14,11,0,279331;363689;387258;387266;387522;387720;430173;457416;495069;560276;604363,comparable,43,16,6,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse","Animal Shelter; Automobile Body Shop; Club; Commercial Daycare; Community Building; Educational Institution; Feedmill; Forestry Related; Greenhouse (private, industrial); Heavy Equipment Repair; Kennel; Manufacturing, Light; Outdoor Storage; Public Utility Service Operations; Recreation or Fitness Center (indoors); Recycling Depot",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
M1 -> PPS,M1,Light Industrial,PPS,Parks and Public Spaces,1,1,0,192922,comparable,10,22,0,Active Recreation; Cemetery; Community Gardens; Community Institutional; Cultural Establishment; Golf Course; Government Offices; Library; Recreation or Fitness Centre (indoors); Trail System ZONING & DEVELOPMENT BYL AW,"Animal Shelter; Automobile Body Shop; Club; Commercial Daycare; Community Building; Educational Institution; Feedmill; Fire Station; Forestry Related; Funeral Establishment; Greenhouse (private, industrial); Heavy Equipment Repair; Kennel; Manufacturing, Light; Medical, Health and Dental Office; Outdoor Storage; Place of Worship; Police Station; Public Utility Service Operations; Recreation or Fitness Center (indoors); Recycling Depot; Storage Facility",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
M1 -> RN,M1,Light Industrial,RN,Neighbourhood,2,2,0,1132513;1164813,comparable,4,22,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,"Animal Shelter; Automobile Body Shop; Club; Commercial Daycare; Community Building; Educational Institution; Feedmill; Fire Station; Forestry Related; Funeral Establishment; Greenhouse (private, industrial); Heavy Equipment Repair; Kennel; Manufacturing, Light; Medical, Health and Dental Office; Outdoor Storage; Place of Worship; Police Station; Public Utility Service Operations; Recreation or Fitness Center (indoors); Recycling Depot; Storage Facility",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
M2 -> [none],M2,Heavy Industrial,,,1,1,0,636035,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
M3 -> GC,M3,Business Park Industrial,GC,Growth Corridor,1,1,0,1097005,comparable,18,9,31,Cannabis Retail Store; Cemetery; Community Care Facility; Community Institutional; Dormitory; Entertainment Establishment; Funeral Establishment; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Laundromat; Library; Multi-unit Dwelling; Public Utility Service Operation; Shopping Centre; Theatre,"Automobile Body Shop; Automobile Service Station; Club; Greenhouse (private industrial); Kennel; Manufacturing, Light; Marijuana Production Facility; Outdoor Storage; Research and Development Facilities",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
M3 -> I,M3,Business Park Industrial,I,Institutional,1,1,0,1007657,comparable,8,32,8,Cemetery; Community Care Facility; Community Institutional; Dormitory; Funeral Establishment; Government Offices; Hospital; Library,"Assembly facility; Automobile Body Shop; Automobile Sales and Services; Automobile Service Station; Club; Convenience Store; Distribution centre; Eating and Drinking Establishment; Equipment Sales, Rental Service; Garden Centre; Greenhouse (private industrial); Hotel; Kennel; Light manufacturing; Manufacturing, Light; Marijuana Production Facility; Office; Outdoor Retail Display; Outdoor Storage; Parking Lot; Parking Structure; Personal Service Shop; Recreation or Fitness Centre (indoors); Research and Development Facilities; Retail store; Retail Warehouse; Service Repair Establishment; Storage Facility; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
MUC -> [none],MUC,Mixed Use Corridor,,,1,1,0,278036,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
MUC -> BP,MUC,Mixed Use Corridor,BP,Business Park,25,16,0,1009471;278747;278762;278788;278804;278903;278911;278929;278937;278960;279042;279075;616813;653519;701649;795971,comparable,26,2,13,"Automobile Body Shop; Club; Commercial Daycare Centre; Cultural Establishment; Educational Institution (private); Educational Institution (public); Fire Station; Garden Centre; Greenhouse (private industrial); Hostel; Hotel; Kennel; Manufacturing, Light; Marijuana Production Facility; Medical, Health and Dental Office; Office; Outdoor Storage; Parking structure; Personal Service Shop; Place of Worship; Police Station; Recreation or Fitness Centre (indoors); Research and Development Facilities; Transitional Housing; Transportation Service; Veterinary Services",Cannabis Retail Store; Greenhouse (nursery retail),data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
MUC -> RM,MUC,Mixed Use Corridor,RM,Medium Density Residential,39,26,0,1038207;274183;274258;274399;274597;277418;277426;277434;277442;277699;278010;278028;278044;278051;278069;360917;360925;363655;363663;363671;363903;363911;369108;390021;390039;404707,comparable,14,15,0,Cluster Housing; Duplex Dwelling; Government Offices; Library; Lodging House; Mini-home Dwelling; Modular Dwelling; Multi-unit Dwelling; Recreation or Fitness Centre (indoors); Semi Detached Dwelling; Seniors Housing; Single Detached Dwelling; Tourist Accommodation; Townhouse Dwelling,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Distribution centre; Equipment Sales, Rental Service; Greenhouse (nursery retail); Light manufacturing; Outdoor Retail Display; Parking Lot; Retail store; Retail Warehouse; Service Repair Establishment; Storage Facility; Transport Terminal; Warehouse",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
MUC -> RN,MUC,Mixed Use Corridor,RN,Neighbourhood,25,24,0,358010;359158;359182;359406;359828;359836;359844;359851;361329;364810;364828;711036;918037;922823;923938;926329;931329;933333;941633;941690;942060;946103;993899;994079,comparable,4,15,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Distribution centre; Equipment Sales, Rental Service; Greenhouse (nursery retail); Light manufacturing; Outdoor Retail Display; Parking Lot; Retail store; Retail Warehouse; Service Repair Establishment; Storage Facility; Transport Terminal; Warehouse",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
