page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
93,93,Operating Budget,Water and Sewer Utility,text_or_divider,embedded_text,19,False,,,"[""Charlottetown Water and Sewer""]",[],0,6,False,False,,medium,[]
94,94,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,49,True,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",40,129,True,False,,high,[]
95,95,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,25,True,operating_detail,item | budget (2026/2027),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2026/2027""]",6,10,True,False,continuation-016,high,[]
96,96,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,38,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",3,6,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
97,97,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,33,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",10,13,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
98,98,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,30,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",12,15,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
99,99,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,16,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",6,9,True,True,continuation-016,high,"[""adjacent same-family page; continuation requires visual review""]"
100,,Operating Budget,Charlottetown Civic Centre,text_or_divider,embedded_text,7,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre""]","[""2026/2027""]",0,2,False,False,,medium,[]
101,,Operating Budget,Charlottetown Civic Centre Management Inc.,table_or_profile,embedded_text,43,True,operating_statement,item | budget (2026-2027),"[""City of Charlottetown""]","[""2026-2027""]",23,35,True,False,,high,[]
102,102,Operating Budget,"Ticket Printing Revenue 80,000.00",table_or_profile,embedded_text,37,True,operating_statement,item | amount (unlabeled period),[],[],24,32,True,False,continuation-017,high,[]
