table_key,document_key,page_key,page_number,title_guess,section,table_family,statement_class,periods,continuation_candidate,continuation_of_page_key,disposition,confidence,review_reasons
ctown_fs_city_2025_03_31_audited_p028_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p028,28,ree),Notes,budget_reconciliation_note,,"[""2025""]",False,,profiled_for_gate_3_schema_spike,low,"[""low OCR confidence; visual source review required before extraction""]"
ctown_fs_city_2025_03_31_audited_p029_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p029,29,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p030_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p030,30,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2016"", ""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p029,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p031_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p031,31,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2025"", ""2026""]",True,ctown_fs_city_2025_03_31_audited_p030,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p032_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p032,32,——————————_—___—_— we ——.een aaa 30,Schedules,tangible_capital_assets_schedule,,"[""2025""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p033_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p033,33,Sm CTI 31,Schedules,tangible_capital_assets_schedule,,"[""2025""]",True,ctown_fs_city_2025_03_31_audited_p032,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p034_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p034,34,— Ao Oo lOOMVar se 32,Schedules,tangible_capital_assets_schedule,,"[""2024""]",True,ctown_fs_city_2025_03_31_audited_p033,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p035_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p035,35,$$ 9 958g ae 33,Schedules,tangible_capital_assets_schedule,,"[""2024""]",True,ctown_fs_city_2025_03_31_audited_p034,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p036_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p036,36,ee ee,Schedules,segmented_disclosure_schedule,,"[""2025""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2025_03_31_audited_p037_t01,ctown_fs_city_2025_03_31_audited,ctown_fs_city_2025_03_31_audited_p037,37,ee _WMMWMMM 35,Schedules,segmented_disclosure_schedule,,"[""2024""]",True,ctown_fs_city_2025_03_31_audited_p036,profiled_for_gate_3_schema_spike,medium,[]
